"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",5.006,0.072802220194896,68.7616392274663,1.13428618636259e-113
"2","speciesversicolor",0.93,0.102957887170494,9.03281939401063,8.77019424057073e-16
"3","speciesvirginica",1.582,0.102957887170494,15.3655056788439,2.21482134895689e-32
